2019-07-15 10:29:29.627 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@998e21, org.springframework.security.web.context.SecurityContextPersistenceFilter@1d8dff8, org.springframework.security.web.header.HeaderWriterFilter@1a822ad, org.springframework.security.web.csrf.CsrfFilter@6f81b5, org.springframework.security.web.authentication.logout.LogoutFilter@199f6c5, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@4c72d6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3f1234, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6017b9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@121994e, org.springframework.security.web.session.SessionManagementFilter@d1caa2, org.springframework.security.web.access.ExceptionTranslationFilter@62bdff, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@d62003]
2019-07-15 10:29:29.801 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-07-15 10:29:30.048 [main] INFO  org.springframework.boot.autoconfigure.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2019-07-15 10:29:30.187 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8855"]
2019-07-15 10:29:30.223 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8855 (http) with context path ''
2019-07-15 10:29:30.228 [main] INFO  com.consoledeployserver.ConsoleDeployServerApplication - Started ConsoleDeployServerApplication in 4.062 seconds (JVM running for 5.266)
2019-07-15 10:29:30.520 [http-nio-8855-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-15 10:29:30.521 [http-nio-8855-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-07-15 10:29:30.598 [http-nio-8855-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 77 ms
2019-07-15 10:29:30.674 [http-nio-8855-exec-4] INFO  com.consoledeployserver.controller.HomeController - 【192.168.100.100】请求登录
2019-07-15 10:51:34.112 [main] INFO  com.consoledeployserver.ConsoleDeployServerApplication - Starting ConsoleDeployServerApplication on JXL-20170825TXC with PID 9872 (D:\console-deploy-server\target\classes started by wudongchun in D:\console-deploy-server)
2019-07-15 10:51:34.116 [main] INFO  com.consoledeployserver.ConsoleDeployServerApplication - No active profile set, falling back to default profiles: default
2019-07-15 10:51:35.896 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8855 (http)
2019-07-15 10:51:35.914 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8855"]
2019-07-15 10:51:35.936 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
